"id","sport_key","sport_title","commence_time","home_team","away_team"
"4a9d845d96d09bab57be54d020230e3f","tennis_wta_french_open","WTA French Open","2024-06-06T13:00:00Z","Iga Swiatek","Coco Gauff"
"8ccec411d2052419a6c1149d5c24c72a","tennis_wta_french_open","WTA French Open","2024-06-06T15:00:00Z","Jasmine Paolini","Mirra Andreeva"
