date,total_daily_profit,number_of_bets,number_of_wins,number_of_losses,daily_profit,daily_losses,total_cash
2005-01-01,37.0,1,1,0,37.0,0.0,10037.0
2005-01-02,0.0,0,0,0,0.0,0.0,10037.0
2005-01-03,35.0,2,1,1,85.0,-50.0,10072.0
2005-01-04,0.0,0,0,0,0.0,0.0,10072.0
2005-01-05,166.5,1,1,0,166.5,0.0,10238.5
2005-01-06,-50.0,1,0,1,0.0,-50.0,10188.5
2005-01-07,-100.0,2,0,2,0.0,-100.0,10088.5
2005-01-08,-50.0,1,0,1,0.0,-50.0,10038.5
2005-01-09,-37.5,2,1,1,12.5,-50.0,10001.0
2005-01-10,0.0,0,0,0,0.0,0.0,10001.0
2005-01-11,55.0,1,1,0,55.0,0.0,10056.0
2005-01-12,-20.0,2,1,1,30.0,-50.0,10036.0
2005-01-13,0.0,0,0,0,0.0,0.0,10036.0
2005-01-14,-50.0,1,0,1,0.0,-50.0,9986.0
2005-01-15,40.0,1,1,0,40.0,0.0,10026.0
2005-01-16,-60.0,3,1,2,40.0,-100.0,9966.0
2005-01-17,-25.0,2,1,1,25.0,-50.0,9941.0
2005-01-18,-50.0,1,0,1,0.0,-50.0,9891.0
2005-01-19,0.0,0,0,0,0.0,0.0,9891.0
2005-01-20,0.0,0,0,0,0.0,0.0,9891.0
2005-01-21,0.0,0,0,0,0.0,0.0,9891.0
2005-01-22,-51.0,5,2,3,99.0,-150.0,9840.0
2005-01-23,253.0,5,3,2,353.0,-100.0,10093.0
2005-01-24,-50.0,1,0,1,0.0,-50.0,10043.0
2005-01-25,70.5,1,1,0,70.5,0.0,10113.5
2005-01-26,-69.5,3,1,2,30.5,-100.0,10044.0
2005-01-27,0.0,0,0,0,0.0,0.0,10044.0
2005-01-28,0.0,0,0,0,0.0,0.0,10044.0
2005-01-29,-63.5,3,1,2,36.5,-100.0,9980.5
2005-01-30,-67.5,3,1,2,32.5,-100.0,9913.0
2005-01-31,0.0,0,0,0,0.0,0.0,9913.0
2005-02-01,0.0,0,0,0,0.0,0.0,9913.0
2005-02-02,50.0,1,1,0,50.0,0.0,9963.0
2005-02-03,0.0,0,0,0,0.0,0.0,9963.0
2005-02-04,0.0,0,0,0,0.0,0.0,9963.0
2005-02-05,47.5,2,1,1,97.5,-50.0,10010.5
2005-02-06,-50.0,1,0,1,0.0,-50.0,9960.5
2005-02-07,0.0,0,0,0,0.0,0.0,9960.5
2005-02-08,0.0,0,0,0,0.0,0.0,9960.5
2005-02-09,-50.0,1,0,1,0.0,-50.0,9910.5
2005-02-10,0.0,0,0,0,0.0,0.0,9910.5
2005-02-11,0.0,0,0,0,0.0,0.0,9910.5
2005-02-12,-137.5,5,1,4,62.5,-200.0,9773.0
2005-02-13,55.0,5,2,3,205.0,-150.0,9828.0
2005-02-14,0.0,0,0,0,0.0,0.0,9828.0
2005-02-15,-50.0,1,0,1,0.0,-50.0,9778.0
2005-02-16,0.0,0,0,0,0.0,0.0,9778.0
2005-02-17,0.0,0,0,0,0.0,0.0,9778.0
2005-02-18,0.0,0,0,0,0.0,0.0,9778.0
2005-02-19,-300.0,6,0,6,0.0,-300.0,9478.0
2005-02-20,-50.0,1,0,1,0.0,-50.0,9428.0
2005-02-21,0.0,0,0,0,0.0,0.0,9428.0
2005-02-22,90.0,1,1,0,90.0,0.0,9518.0
2005-02-23,0.0,0,0,0,0.0,0.0,9518.0
2005-02-24,-50.0,1,0,1,0.0,-50.0,9468.0
2005-02-25,17.5,1,1,0,17.5,0.0,9485.5
2005-02-26,-100.0,2,0,2,0.0,-100.0,9385.5
2005-02-27,41.0,4,2,2,141.0,-100.0,9426.5
2005-02-28,0.0,0,0,0,0.0,0.0,9426.5
2005-03-01,114.5,1,1,0,114.5,0.0,9541.0
2005-03-02,79.5,1,1,0,79.5,0.0,9620.5
2005-03-03,0.0,0,0,0,0.0,0.0,9620.5
2005-03-04,123.0,1,1,0,123.0,0.0,9743.5
2005-03-05,-8.0,6,3,3,142.0,-150.0,9735.5
2005-03-06,-200.0,4,0,4,0.0,-200.0,9535.5
2005-03-07,0.0,0,0,0,0.0,0.0,9535.5
2005-03-08,13.5,2,1,1,63.5,-50.0,9549.0
2005-03-09,-100.0,2,0,2,0.0,-100.0,9449.0
2005-03-10,0.0,0,0,0,0.0,0.0,9449.0
2005-03-11,-50.0,1,0,1,0.0,-50.0,9399.0
2005-03-12,-240.0,7,1,6,60.0,-300.0,9159.0
2005-03-13,285.5,9,6,3,435.5,-150.0,9444.5
2005-03-14,0.0,0,0,0,0.0,0.0,9444.5
2005-03-15,101.5,1,1,0,101.5,0.0,9546.0
2005-03-16,0.0,0,0,0,0.0,0.0,9546.0
2005-03-17,0.0,0,0,0,0.0,0.0,9546.0
2005-03-18,0.0,0,0,0,0.0,0.0,9546.0
2005-03-19,-68.5,7,2,5,181.5,-250.0,9477.5
2005-03-20,-114.0,5,1,4,86.0,-200.0,9363.5
2005-03-21,0.0,0,0,0,0.0,0.0,9363.5
2005-03-22,-50.0,1,0,1,0.0,-50.0,9313.5
2005-03-23,45.0,2,1,1,95.0,-50.0,9358.5
2005-03-24,75.0,1,1,0,75.0,0.0,9433.5
2005-03-25,85.0,2,2,0,85.0,0.0,9518.5
2005-03-26,143.5,6,5,1,193.5,-50.0,9662.0
2005-03-27,0.0,3,1,2,100.0,-100.0,9662.0
2005-03-28,-100.0,2,0,2,0.0,-100.0,9562.0
