date,total_daily_profit,number_of_bets,number_of_wins,number_of_losses,daily_profit,daily_losses,total_cash
2005-01-01,59.2,1,1,0,59.2,0.0,1059.2
2005-01-02,0.0,0,0,0,0.0,0.0,1059.2
2005-01-03,52.5,2,1,1,127.5,-75.0,1111.7
2005-01-04,0.0,0,0,0,0.0,0.0,1111.7
2005-01-05,499.5,1,1,0,499.5,0.0,1611.2
2005-01-06,-75.0,1,0,1,0.0,-75.0,1536.2
2005-01-07,-150.0,2,0,2,0.0,-150.0,1386.2
2005-01-08,-80.0,1,0,1,0.0,-80.0,1306.2
2005-01-09,-55.0,2,1,1,20.0,-75.0,1251.2
2005-01-10,0.0,0,0,0,0.0,0.0,1251.2
2005-01-11,82.5,1,1,0,82.5,0.0,1333.7
2005-01-12,-30.0,2,1,1,45.0,-75.0,1303.7
2005-01-13,0.0,0,0,0,0.0,0.0,1303.7
2005-01-14,-80.0,1,0,1,0.0,-80.0,1223.7
2005-01-15,68.0,1,1,0,68.0,0.0,1291.7
2005-01-16,-102.0,3,1,2,68.0,-170.0,1189.7
2005-01-17,-52.5,2,1,1,32.5,-85.0,1137.2
2005-01-18,-85.0,1,0,1,0.0,-85.0,1052.2
2005-01-19,0.0,0,0,0,0.0,0.0,1052.2
2005-01-20,0.0,0,0,0,0.0,0.0,1052.2
2005-01-21,0.0,0,0,0,0.0,0.0,1052.2
2005-01-22,-86.7,5,2,3,168.3,-255.0,965.5
2005-01-23,1012.0,5,3,2,1182.0,-170.0,1977.5
2005-01-24,-85.0,1,0,1,0.0,-85.0,1892.5
2005-01-25,112.8,1,1,0,112.8,0.0,2005.3
2005-01-26,-108.15,3,1,2,51.85,-160.0,1897.15
2005-01-27,0.0,0,0,0,0.0,0.0,1897.15
2005-01-28,0.0,0,0,0,0.0,0.0,1897.15
2005-01-29,-106.6,3,1,2,58.4,-165.0,1790.55
2005-01-30,-99.75,3,1,2,55.25,-155.0,1690.8
2005-01-31,0.0,0,0,0,0.0,0.0,1690.8
2005-02-01,0.0,0,0,0,0.0,0.0,1690.8
2005-02-02,115.0,1,1,0,115.0,0.0,1805.8
2005-02-03,0.0,0,0,0,0.0,0.0,1805.8
2005-02-04,0.0,0,0,0,0.0,0.0,1805.8
2005-02-05,86.0,2,1,1,156.0,-70.0,1891.8
2005-02-06,-85.0,1,0,1,0.0,-85.0,1806.8
2005-02-07,0.0,0,0,0,0.0,0.0,1806.8
2005-02-08,0.0,0,0,0,0.0,0.0,1806.8
2005-02-09,-80.0,1,0,1,0.0,-80.0,1726.8
2005-02-10,0.0,0,0,0,0.0,0.0,1726.8
2005-02-11,0.0,0,0,0,0.0,0.0,1726.8
2005-02-12,-205.0,5,1,4,100.0,-305.0,1521.8
2005-02-13,98.5,5,2,3,348.5,-250.0,1620.3
2005-02-14,0.0,0,0,0,0.0,0.0,1620.3
2005-02-15,-85.0,1,0,1,0.0,-85.0,1535.3
2005-02-16,0.0,0,0,0,0.0,0.0,1535.3
2005-02-17,0.0,0,0,0,0.0,0.0,1535.3
2005-02-18,0.0,0,0,0,0.0,0.0,1535.3
2005-02-19,-495.0,6,0,6,0.0,-495.0,1040.3
2005-02-20,-85.0,1,0,1,0.0,-85.0,955.3
2005-02-21,0.0,0,0,0,0.0,0.0,955.3
2005-02-22,144.0,1,1,0,144.0,0.0,1099.3
2005-02-23,0.0,0,0,0,0.0,0.0,1099.3
2005-02-24,-85.0,1,0,1,0.0,-85.0,1014.3
2005-02-25,19.25,1,1,0,19.25,0.0,1033.55
2005-02-26,-165.0,2,0,2,0.0,-165.0,868.55
2005-02-27,92.45,4,2,2,237.45,-145.0,961.0
2005-02-28,0.0,0,0,0,0.0,0.0,961.0
2005-03-01,171.75,1,1,0,171.75,0.0,1132.75
2005-03-02,127.2,1,1,0,127.2,0.0,1259.95
2005-03-03,0.0,0,0,0,0.0,0.0,1259.95
2005-03-04,196.8,1,1,0,196.8,0.0,1456.75
2005-03-05,-12.75,6,3,3,237.25,-250.0,1444.0
2005-03-06,-305.0,4,0,4,0.0,-305.0,1139.0
2005-03-07,0.0,0,0,0,0.0,0.0,1139.0
2005-03-08,27.95,2,1,1,107.95,-80.0,1166.95
2005-03-09,-165.0,2,0,2,0.0,-165.0,1001.95
2005-03-10,0.0,0,0,0,0.0,0.0,1001.95
2005-03-11,-85.0,1,0,1,0.0,-85.0,916.95
2005-03-12,-362.0,7,1,6,108.0,-470.0,554.95
2005-03-13,474.9,9,6,3,724.9,-250.0,1029.85
2005-03-14,0.0,0,0,0,0.0,0.0,1029.85
2005-03-15,182.7,1,1,0,182.7,0.0,1212.55
2005-03-16,0.0,0,0,0,0.0,0.0,1212.55
2005-03-17,0.0,0,0,0,0.0,0.0,1212.55
2005-03-18,0.0,0,0,0,0.0,0.0,1212.55
2005-03-19,-124.6,7,2,5,305.4,-430.0,1087.95
2005-03-20,-180.2,5,1,4,154.8,-335.0,907.75
2005-03-21,0.0,0,0,0,0.0,0.0,907.75
2005-03-22,-85.0,1,0,1,0.0,-85.0,822.75
2005-03-23,54.0,2,1,1,114.0,-60.0,876.75
2005-03-24,82.5,1,1,0,82.5,0.0,959.25
2005-03-25,110.5,2,2,0,110.5,0.0,1069.75
2005-03-26,253.3,6,5,1,338.3,-85.0,1323.05
2005-03-27,10.0,3,1,2,180.0,-170.0,1333.05
2005-03-28,-120.0,2,0,2,0.0,-120.0,1213.05
2005-03-29,0.0,0,0,0,0.0,0.0,1213.05
2005-03-30,78.25,3,2,1,163.25,-85.0,1291.3
2005-03-31,0.0,0,0,0,0.0,0.0,1291.3
2005-04-01,-60.0,1,0,1,0.0,-60.0,1231.3
2005-04-02,149.4,9,4,5,584.4,-435.0,1380.7
2005-04-03,172.0,2,1,1,252.0,-80.0,1552.7
2005-04-04,0.0,0,0,0,0.0,0.0,1552.7
2005-04-05,-60.0,1,0,1,0.0,-60.0,1492.7
2005-04-06,-116.95,4,1,3,113.05,-230.0,1375.75
2005-04-07,24.65,1,1,0,24.65,0.0,1400.4
2005-04-08,0.0,0,0,0,0.0,0.0,1400.4
2005-04-09,-132.0,5,1,4,198.0,-330.0,1268.4
2005-04-10,525.0,6,4,2,705.0,-180.0,1793.4
2005-04-11,-85.0,1,0,1,0.0,-85.0,1708.4
2005-04-12,0.0,0,0,0,0.0,0.0,1708.4
2005-04-13,-90.0,1,0,1,0.0,-90.0,1618.4
2005-04-14,0.0,0,0,0,0.0,0.0,1618.4
2005-04-15,-28.0,2,1,1,42.0,-70.0,1590.4
2005-04-16,457.0,8,6,2,592.0,-135.0,2047.4
2005-04-17,-62.0,3,1,2,108.0,-170.0,1985.4
2005-04-18,0.0,0,0,0,0.0,0.0,1985.4
2005-04-19,-260.0,4,0,4,0.0,-260.0,1725.4
2005-04-20,-165.0,2,0,2,0.0,-165.0,1560.4
2005-04-21,-140.0,2,0,2,0.0,-140.0,1420.4
2005-04-22,45.0,2,1,1,120.0,-75.0,1465.4
2005-04-23,-287.5,5,1,4,42.5,-330.0,1177.9
2005-04-24,-152.0,6,2,4,198.0,-350.0,1025.9
2005-04-25,-65.0,1,0,1,0.0,-65.0,960.9
2005-04-26,145.8,2,2,0,145.8,0.0,1106.7
2005-04-27,-235.0,5,1,4,80.0,-315.0,871.7
2005-04-28,-80.0,1,0,1,0.0,-80.0,791.7
2005-04-29,0.0,0,0,0,0.0,0.0,791.7
2005-04-30,477.2,4,4,0,477.2,0.0,1268.9
2005-05-01,-60.8,3,1,2,79.2,-140.0,1208.1
2005-05-02,0.0,0,0,0,0.0,0.0,1208.1
2005-05-03,0.0,0,0,0,0.0,0.0,1208.1
2005-05-04,47.75,5,2,3,242.75,-195.0,1255.85
2005-05-05,216.75,1,1,0,216.75,0.0,1472.6
2005-05-06,0.0,0,0,0,0.0,0.0,1472.6
2005-05-07,-194.0,4,1,3,56.0,-250.0,1278.6
2005-05-08,125.0,5,2,3,380.0,-255.0,1403.6
2005-05-09,61.75,1,1,0,61.75,0.0,1465.35
2005-05-10,-70.0,1,0,1,0.0,-70.0,1395.35
2005-05-11,62.9,1,1,0,62.9,0.0,1458.25
2005-05-12,0.0,0,0,0,0.0,0.0,1458.25
2005-05-13,90.3,1,1,0,90.3,0.0,1548.55
2005-05-14,-53.2,4,1,3,176.8,-230.0,1495.35
2005-05-15,58.45,7,2,5,433.45,-375.0,1553.8
2005-05-16,107.4,2,2,0,107.4,0.0,1661.2
2005-05-17,112.5,1,1,0,112.5,0.0,1773.7
2005-05-18,0.0,0,0,0,0.0,0.0,1773.7
2005-05-19,0.0,0,0,0,0.0,0.0,1773.7
2005-05-20,0.0,0,0,0,0.0,0.0,1773.7
2005-05-21,-209.8,4,1,3,25.2,-235.0,1563.9
2005-05-22,-246.5,5,1,4,93.5,-340.0,1317.4
2005-05-23,0.0,0,0,0,0.0,0.0,1317.4
2005-05-24,-55.0,1,0,1,0.0,-55.0,1262.4
2005-05-25,117.9,1,1,0,117.9,0.0,1380.3
2005-05-26,-165.0,2,0,2,0.0,-165.0,1215.3
2005-05-27,182.0,1,1,0,182.0,0.0,1397.3
2005-05-28,95.95,5,3,2,225.95,-130.0,1493.25
2005-05-29,-333.05,9,3,6,161.95,-495.0,1160.2
2005-05-30,0.0,0,0,0,0.0,0.0,1160.2
2005-05-31,0.0,0,0,0,0.0,0.0,1160.2
2005-06-01,-70.0,1,0,1,0.0,-70.0,1090.2
2005-06-02,0.0,0,0,0,0.0,0.0,1090.2
2005-06-03,90.0,1,1,0,90.0,0.0,1180.2
2005-06-04,423.15,4,4,0,423.15,0.0,1603.35
2005-06-05,-78.25,3,1,2,46.75,-125.0,1525.1
2005-06-06,42.25,1,1,0,42.25,0.0,1567.35
2005-06-07,0.0,0,0,0,0.0,0.0,1567.35
2005-06-08,-90.0,1,0,1,0.0,-90.0,1477.35
2005-06-09,0.0,0,0,0,0.0,0.0,1477.35
2005-06-10,0.0,0,0,0,0.0,0.0,1477.35
2005-06-11,0.0,0,0,0,0.0,0.0,1477.35
2005-06-12,-127.65,4,1,3,77.35,-205.0,1349.7
2005-06-13,0.0,0,0,0,0.0,0.0,1349.7
2005-06-14,0.0,0,0,0,0.0,0.0,1349.7
2005-06-15,0.0,0,0,0,0.0,0.0,1349.7
2005-06-16,0.0,0,0,0,0.0,0.0,1349.7
2005-06-17,0.0,0,0,0,0.0,0.0,1349.7
2005-06-18,70.0,3,1,2,225.0,-155.0,1419.7
2005-06-19,47.8,3,2,1,107.8,-60.0,1467.5
2005-06-20,0.0,0,0,0,0.0,0.0,1467.5
2005-06-21,0.0,0,0,0,0.0,0.0,1467.5
2005-06-22,67.8,1,1,0,67.8,0.0,1535.3
2005-06-23,22.75,1,1,0,22.75,0.0,1558.05
2005-06-24,0.0,0,0,0,0.0,0.0,1558.05
2005-06-25,0.0,0,0,0,0.0,0.0,1558.05
2005-06-26,-48.8,3,1,2,91.2,-140.0,1509.25
2005-06-27,-4.8,2,1,1,70.2,-75.0,1504.45
2005-06-28,144.5,1,1,0,144.5,0.0,1648.95
2005-06-29,-90.0,1,0,1,0.0,-90.0,1558.95
2005-06-30,0.0,0,0,0,0.0,0.0,1558.95
2005-07-01,0.0,0,0,0,0.0,0.0,1558.95
2005-07-02,-70.0,1,0,1,0.0,-70.0,1488.95
2005-07-03,436.5,4,2,2,581.5,-145.0,1925.45
2005-07-04,0.0,0,0,0,0.0,0.0,1925.45
2005-07-05,0.0,0,0,0,0.0,0.0,1925.45
2005-07-06,-130.0,2,0,2,0.0,-130.0,1795.45
2005-07-07,-90.0,1,0,1,0.0,-90.0,1705.45
2005-07-08,0.0,0,0,0,0.0,0.0,1705.45
2005-07-09,0.0,0,0,0,0.0,0.0,1705.45
2005-07-10,17.0,2,1,1,92.0,-75.0,1722.45
2005-07-11,0.0,0,0,0,0.0,0.0,1722.45
2005-07-12,35.75,1,1,0,35.75,0.0,1758.2
2005-07-13,-70.0,1,0,1,0.0,-70.0,1688.2
2005-07-14,-24.25,2,1,1,35.75,-60.0,1663.95
2005-07-15,0.0,0,0,0,0.0,0.0,1663.95
2005-07-16,0.0,0,0,0,0.0,0.0,1663.95
2005-07-17,72.8,1,1,0,72.8,0.0,1736.75
2005-07-18,0.0,0,0,0,0.0,0.0,1736.75
2005-07-19,0.0,0,0,0,0.0,0.0,1736.75
2005-07-20,14.5,3,2,1,109.5,-95.0,1751.25
2005-07-21,0.0,0,0,0,0.0,0.0,1751.25
2005-07-22,0.0,0,0,0,0.0,0.0,1751.25
2005-07-23,-295.0,4,0,4,0.0,-295.0,1456.25
2005-07-24,404.1,1,1,0,404.1,0.0,1860.35
2005-07-25,0.0,0,0,0,0.0,0.0,1860.35
2005-07-26,0.0,0,0,0,0.0,0.0,1860.35
2005-07-27,0.0,0,0,0,0.0,0.0,1860.35
2005-07-28,0.0,0,0,0,0.0,0.0,1860.35
2005-07-29,0.0,0,0,0,0.0,0.0,1860.35
2005-07-30,-55.0,1,0,1,0.0,-55.0,1805.35
2005-07-31,0.0,0,0,0,0.0,0.0,1805.35
2005-08-01,0.0,0,0,0,0.0,0.0,1805.35
2005-08-02,0.0,0,0,0,0.0,0.0,1805.35
2005-08-03,0.0,0,0,0,0.0,0.0,1805.35
2005-08-04,0.0,0,0,0,0.0,0.0,1805.35
2005-08-05,-60.0,1,0,1,0.0,-60.0,1745.35
2005-08-06,-157.55,7,3,4,137.45,-295.0,1587.8
2005-08-07,-26.85,2,1,1,33.15,-60.0,1560.95
2005-08-08,77.0,1,1,0,77.0,0.0,1637.95
2005-08-09,-95.0,1,0,1,0.0,-95.0,1542.95
2005-08-10,-78.5,4,2,2,106.5,-185.0,1464.45
2005-08-11,12.0,2,1,1,72.0,-60.0,1476.45
2005-08-12,101.5,1,1,0,101.5,0.0,1577.95
2005-08-13,167.05,2,2,0,167.05,0.0,1745.0
2005-08-14,-55.25,6,3,3,184.75,-240.0,1689.75
2005-08-15,0.0,0,0,0,0.0,0.0,1689.75
2005-08-16,0.0,0,0,0,0.0,0.0,1689.75
2005-08-17,0.0,0,0,0,0.0,0.0,1689.75
2005-08-18,0.0,0,0,0,0.0,0.0,1689.75
2005-08-19,0.0,0,0,0,0.0,0.0,1689.75
2005-08-20,324.45,5,3,2,499.45,-175.0,2014.2
2005-08-21,-70.0,1,0,1,0.0,-70.0,1944.2
2005-08-22,0.0,0,0,0,0.0,0.0,1944.2
2005-08-23,76.5,6,4,2,256.5,-180.0,2020.7
2005-08-24,72.0,2,1,1,162.0,-90.0,2092.7
2005-08-25,24.75,1,1,0,24.75,0.0,2117.45
2005-08-26,0.0,0,0,0,0.0,0.0,2117.45
2005-08-27,-165.8,4,1,3,34.2,-200.0,1951.65
2005-08-28,126.0,3,2,1,211.0,-85.0,2077.65
2005-08-29,0.0,0,0,0,0.0,0.0,2077.65
2005-08-30,0.0,0,0,0,0.0,0.0,2077.65
2005-08-31,95.15,2,2,0,95.15,0.0,2172.8
2005-09-01,24.0,1,1,0,24.0,0.0,2196.8
2005-09-02,0.0,0,0,0,0.0,0.0,2196.8
2005-09-03,-24.75,2,1,1,30.25,-55.0,2172.05
2005-09-04,-210.0,3,0,3,0.0,-210.0,1962.05
2005-09-05,0.0,0,0,0,0.0,0.0,1962.05
2005-09-06,-46.4,2,1,1,18.6,-65.0,1915.65
2005-09-07,-88.1,5,2,3,131.9,-220.0,1827.55
2005-09-08,0.0,0,0,0,0.0,0.0,1827.55
2005-09-09,-75.0,1,0,1,0.0,-75.0,1752.55
2005-09-10,302.85,7,4,3,582.85,-280.0,2055.4
2005-09-11,-400.0,5,0,5,0.0,-400.0,1655.4
2005-09-12,32.5,1,1,0,32.5,0.0,1687.9
2005-09-13,0.0,0,0,0,0.0,0.0,1687.9
2005-09-14,61.75,1,1,0,61.75,0.0,1749.65
2005-09-15,-206.2,6,2,4,143.8,-350.0,1543.45
2005-09-16,-90.0,1,0,1,0.0,-90.0,1453.45
2005-09-17,351.1,8,5,3,581.1,-230.0,1804.55
2005-09-18,18.25,4,2,2,168.25,-150.0,1822.8
2005-09-19,-85.0,1,0,1,0.0,-85.0,1737.8
2005-09-20,79.95,4,3,1,174.95,-95.0,1817.75
2005-09-21,-270.0,6,1,5,165.0,-435.0,1547.75
2005-09-22,0.0,0,0,0,0.0,0.0,1547.75
2005-09-23,0.0,0,0,0,0.0,0.0,1547.75
2005-09-24,-180.5,6,1,5,229.5,-410.0,1367.25
2005-09-25,-81.4,3,1,2,93.6,-175.0,1285.85
2005-09-26,0.0,0,0,0,0.0,0.0,1285.85
2005-09-27,-90.0,1,0,1,0.0,-90.0,1195.85
2005-09-28,0.0,0,0,0,0.0,0.0,1195.85
2005-09-29,-186.9,4,1,3,58.1,-245.0,1008.95
2005-09-30,72.0,1,1,0,72.0,0.0,1080.95
2005-10-01,-544.6,11,2,9,170.4,-715.0,536.35
2005-10-02,-331.0,6,1,5,99.0,-430.0,205.35
2005-10-03,-85.0,1,0,1,0.0,-85.0,120.35
